iter	Passed	Remaining
0	144	143980
1	144	72269
2	145	48352
3	146	36372
4	146	29201
5	147	24405
6	147	20977
7	148	18413
8	149	16425
9	149	14827
10	150	13519
11	150	12428
12	151	11506
13	152	10721
14	152	10038
15	153	9452
16	154	8946
17	155	8501
18	156	8084
19	157	7703
20	157	7360
21	158	7046
22	172	7321
23	173	7062
24	174	6799
25	176	6598
26	178	6447
27	180	6257
28	181	6061
29	182	5899
30	183	5729
31	183	5564
32	184	5408
33	185	5263
34	185	5124
35	186	5000
36	188	4914
37	191	4842
38	192	4732
39	192	4630
40	193	4537
41	195	4448
42	195	4355
43	196	4267
44	197	4181
45	198	4106
46	200	4059
47	201	3997
48	203	3947
49	204	3881
50	204	3813
51	205	3747
52	206	3684
53	207	3627
54	208	3581
55	210	3556
56	211	3504
57	212	3450
58	213	3399
59	214	3355
60	215	3321
61	216	3276
62	217	3231
63	217	3186
64	218	3144
65	219	3102
66	220	3065
67	220	3026
68	222	3005
69	223	2971
70	224	2935
71	225	2906
72	227	2888
73	228	2856
74	228	2823
75	229	2790
76	230	2760
77	231	2736
78	232	2711
79	234	2693
80	234	2666
81	235	2637
82	236	2611
83	238	2597
84	238	2570
85	239	2544
86	239	2517
87	240	2492
88	241	2468
89	242	2452
90	246	2457
91	246	2435
92	247	2413
93	248	2392
94	249	2373
95	253	2383
96	254	2369
97	255	2348
98	256	2333
99	258	2322
100	259	2308
101	259	2287
102	260	2267
103	261	2248
104	261	2230
105	264	2226
106	265	2215
107	266	2198
108	266	2180
109	267	2163
110	268	2150
111	269	2140
112	270	2123
113	271	2107
114	271	2091
115	272	2075
116	273	2064
117	275	2060
118	276	2044
119	277	2031
120	277	2017
121	278	2002
122	278	1986
123	279	1975
124	281	1972
125	282	1960
126	283	1947
127	283	1933
128	284	1920
129	285	1907
130	286	1897
131	288	1896
132	289	1888
133	290	1876
134	290	1864
135	291	1852
136	292	1845
137	294	1841
138	295	1830
139	296	1820
140	297	1809
141	297	1798
142	298	1787
143	300	1786
144	301	1778
145	302	1768
146	302	1758
147	303	1747
148	304	1737
149	305	1732
150	307	1729
151	308	1720
152	309	1710
153	309	1701
154	310	1691
155	312	1690
156	313	1683
157	314	1673
158	314	1664
159	315	1655
160	316	1646
161	319	1654
162	321	1651
163	322	1643
164	326	1653
165	328	1648
166	328	1640
167	329	1632
168	332	1635
169	333	1628
170	334	1620
171	334	1611
172	335	1603
173	336	1597
174	338	1594
175	339	1587
176	339	1579
177	340	1572
178	341	1564
179	341	1556
180	342	1551
181	345	1551
182	346	1545
183	346	1537
184	347	1530
185	347	1522
186	348	1516
187	350	1515
188	351	1510
189	352	1503
190	353	1496
191	353	1489
192	354	1482
193	355	1478
194	357	1477
195	358	1471
196	359	1464
197	360	1458
198	360	1451
199	361	1445
200	364	1447
201	365	1442
202	365	1436
203	366	1429
204	366	1423
205	367	1416
206	370	1419
207	371	1414
208	372	1408
209	372	1402
210	373	1396
211	374	1391
212	376	1390
213	376	1384
214	377	1378
215	378	1372
216	378	1367
217	379	1361
218	380	1356
219	382	1354
220	382	1349
221	383	1343
222	383	1337
223	384	1333
224	386	1331
225	387	1327
226	388	1321
227	388	1316
228	389	1311
229	390	1305
230	391	1301
231	392	1299
232	393	1296
233	394	1291
234	395	1285
235	395	1280
236	396	1275
237	397	1271
238	399	1270
239	400	1266
240	400	1261
241	401	1256
242	401	1251
243	402	1246
244	404	1245
245	406	1245
246	407	1241
247	407	1236
248	408	1231
249	408	1226
250	409	1222
251	410	1219
252	412	1217
253	413	1213
254	413	1208
255	414	1203
256	414	1199
257	415	1195
258	418	1195
259	419	1193
260	420	1189
261	420	1184
262	421	1180
263	422	1178
264	424	1177
265	425	1173
266	426	1170
267	426	1165
268	427	1161
269	428	1157
270	429	1154
271	430	1152
272	431	1148
273	432	1144
274	432	1141
275	433	1137
276	435	1137
277	436	1134
278	437	1131
279	438	1127
280	439	1125
281	442	1126
282	443	1122
283	444	1119
284	444	1116
285	445	1112
286	447	1111
287	448	1108
288	448	1104
289	449	1100
290	450	1097
291	451	1093
292	451	1090
293	452	1086
294	453	1083
295	453	1079
296	454	1075
297	455	1072
298	455	1068
299	456	1065
300	457	1061
301	458	1059
302	458	1055
303	459	1051
304	460	1048
305	460	1044
306	461	1041
307	461	1037
308	462	1034
309	463	1031
310	463	1027
311	464	1024
312	465	1020
313	465	1017
314	466	1014
315	467	1010
316	467	1007
317	468	1004
318	468	1001
319	469	997
320	470	994
321	471	992
322	471	988
323	472	985
324	472	982
325	473	979
326	474	976
327	475	975
328	476	972
329	477	969
330	477	965
331	478	963
332	479	960
333	481	959
334	482	957
335	483	955
336	484	953
337	485	950
338	486	948
339	487	945
340	487	942
341	488	939
342	489	937
343	490	935
344	493	936
345	497	939
346	500	941
347	503	943
348	504	941
349	507	943
350	509	941
351	510	939
352	518	951
353	520	949
354	521	947
355	524	949
356	528	951
357	530	951
358	531	949
359	534	950
360	535	947
361	536	945
362	537	943
363	539	942
364	540	940
365	541	937
366	542	935
367	542	932
368	546	934
369	547	932
370	548	929
371	549	927
372	552	928
373	553	926
374	554	923
375	558	927
376	560	925
377	560	922
378	561	920
379	574	937
380	575	934
381	577	933
382	580	934
383	580	931
384	581	929
385	582	926
386	584	925
387	586	924
388	586	921
389	587	919
390	592	923
391	593	920
392	594	918
393	595	915
394	596	913
395	598	912
396	598	909
397	599	906
398	600	903
399	600	901
400	601	899
401	603	898
402	604	895
403	605	893
404	606	890
405	606	887
406	609	887
407	611	886
408	611	884
409	612	881
410	613	879
411	616	880
412	617	878
413	622	881
414	624	880
415	626	879
416	629	879
417	630	877
418	630	874
419	631	871
420	631	869
421	632	866
422	633	863
423	634	862
424	636	860
425	637	858
426	638	856
427	640	855
428	640	853
429	641	850
430	642	848
431	642	845
432	643	842
433	645	841
434	647	840
435	648	838
436	649	836
437	649	833
438	650	831
439	652	830
440	653	828
441	654	825
442	654	823
443	655	820
444	655	817
445	657	816
446	658	815
447	659	812
448	660	810
449	660	807
450	661	805
451	661	802
452	662	800
453	664	799
454	665	797
455	666	795
456	667	793
457	667	790
458	668	787
459	669	785
460	672	786
461	673	783
462	673	781
463	674	779
464	674	776
465	676	774
466	678	774
467	679	772
468	680	769
469	680	767
470	681	765
471	681	762
472	683	762
473	685	760
474	685	757
475	686	755
476	687	753
477	687	750
478	689	750
479	690	748
480	691	745
481	691	743
482	692	741
483	693	738
484	694	737
485	695	735
486	696	733
487	696	731
488	697	728
489	698	726
490	699	725
491	701	723
492	702	721
493	702	719
494	703	717
495	703	715
496	704	713
497	705	711
498	707	710
499	708	708
500	709	706
501	709	704
502	710	701
503	710	699
504	713	698
505	714	697
506	715	695
507	715	693
508	716	691
509	717	689
510	720	689
511	721	687
512	721	685
513	722	683
514	722	680
515	723	678
516	726	678
517	727	676
518	727	674
519	768	709
520	770	708
521	771	706
522	771	703
523	772	701
524	772	699
525	773	697
526	774	694
527	774	692
528	775	690
529	776	688
530	777	686
531	781	687
532	786	688
533	787	687
534	788	685
535	789	683
536	791	682
537	791	679
538	792	677
539	793	675
540	793	673
541	794	671
542	796	670
543	797	668
544	797	665
545	798	663
546	799	661
547	799	659
548	800	657
549	802	656
550	802	654
551	803	652
552	804	649
553	804	647
554	805	645
555	805	643
556	806	641
557	808	640
558	808	638
559	809	636
560	810	633
561	810	631
562	811	629
563	812	627
564	813	626
565	814	624
566	815	622
567	815	620
568	816	618
569	817	616
570	817	614
571	818	612
572	819	610
573	821	609
574	821	607
575	822	605
576	823	603
577	823	601
578	824	599
579	825	597
580	826	596
581	827	594
582	828	592
583	828	590
584	829	588
585	830	586
586	830	584
587	832	583
588	834	582
589	835	580
590	835	578
591	836	576
592	837	574
593	838	572
594	839	571
595	840	569
596	841	567
597	842	566
598	842	564
599	843	562
600	843	560
601	844	558
602	845	556
603	845	554
604	846	552
605	847	550
606	847	548
607	849	547
608	850	546
609	851	544
610	852	542
611	853	541
612	854	539
613	855	537
614	856	535
615	856	534
616	857	532
617	859	531
618	860	529
619	860	527
620	861	525
621	862	524
622	863	522
623	863	520
624	865	519
625	866	517
626	866	515
627	867	513
628	868	512
629	869	510
630	869	508
631	870	507
632	872	505
633	872	503
634	873	502
635	874	500
636	875	498
637	876	497
638	877	495
639	878	494
640	879	492
641	879	490
642	880	488
643	881	487
644	881	485
645	882	483
646	885	482
647	885	481
648	886	479
649	887	477
650	887	476
651	888	474
652	889	472
653	891	471
654	891	469
655	892	467
656	893	466
657	893	464
658	894	462
659	895	461
660	895	459
661	897	458
662	898	456
663	898	454
664	899	453
665	900	451
666	900	449
667	901	448
668	903	446
669	904	445
670	904	443
671	905	441
672	906	440
673	907	438
674	908	437
675	909	435
676	910	434
677	911	432
678	911	431
679	912	429
680	913	427
681	914	426
682	915	424
683	916	423
684	917	421
685	919	420
686	920	419
687	922	418
688	923	416
689	924	415
690	925	413
691	926	412
692	927	410
693	928	409
694	928	407
695	929	405
696	930	404
697	930	402
698	931	401
699	932	399
700	934	398
701	935	396
702	935	395
703	936	393
704	937	392
705	937	390
706	938	389
707	940	387
708	941	386
709	941	384
710	942	383
711	943	381
712	944	379
713	944	378
714	945	377
715	947	375
716	947	374
717	948	372
718	949	371
719	950	369
720	951	368
721	951	366
722	953	365
723	954	363
724	954	362
725	955	360
726	956	359
727	957	357
728	958	356
729	960	355
730	961	353
731	961	352
732	962	350
733	963	349
734	964	347
735	965	346
736	966	345
737	967	343
738	968	341
739	969	340
740	969	338
741	971	337
742	972	336
743	973	334
744	974	333
745	975	332
746	975	330
747	978	329
748	979	328
749	979	326
750	980	325
751	981	323
752	982	322
753	983	320
754	984	319
755	985	318
756	986	316
757	987	315
758	988	313
759	991	313
760	991	311
761	992	310
762	993	308
763	994	307
764	995	305
765	996	304
766	997	303
767	998	301
768	998	299
769	999	298
770	1000	297
771	1001	295
772	1002	294
773	1003	292
774	1003	291
775	1004	290
776	1005	288
777	1006	287
778	1007	285
779	1008	284
780	1009	283
781	1010	281
782	1011	280
783	1011	278
784	1012	277
785	1013	275
786	1014	274
787	1015	273
788	1016	271
789	1017	270
790	1017	268
791	1018	267
792	1019	266
793	1020	264
794	1021	263
795	1022	262
796	1023	260
797	1024	259
798	1024	257
799	1025	256
800	1027	255
801	1028	253
802	1028	252
803	1029	250
804	1030	249
805	1032	248
806	1033	247
807	1034	245
808	1034	244
809	1035	242
810	1036	241
811	1037	240
812	1040	239
813	1040	237
814	1041	236
815	1042	235
816	1044	233
817	1045	232
818	1046	231
819	1047	229
820	1048	228
821	1049	227
822	1049	225
823	1051	224
824	1052	223
825	1053	221
826	1053	220
827	1055	219
828	1056	217
829	1058	216
830	1059	215
831	1060	214
832	1061	212
833	1061	211
834	1062	210
835	1065	208
836	1066	207
837	1067	206
838	1067	204
839	1069	203
840	1070	202
841	1071	201
842	1072	199
843	1073	198
844	1074	197
845	1075	195
846	1076	194
847	1077	193
848	1078	191
849	1079	190
850	1082	189
851	1082	188
852	1083	186
853	1084	185
854	1085	184
855	1087	182
856	1088	181
857	1088	180
858	1089	178
859	1090	177
860	1091	176
861	1093	175
862	1094	173
863	1095	172
864	1096	171
865	1097	169
866	1099	168
867	1099	167
868	1101	165
869	1101	164
870	1103	163
871	1105	162
872	1106	160
873	1107	159
874	1108	158
875	1109	156
876	1110	155
877	1111	154
878	1112	153
879	1113	151
880	1114	150
881	1114	149
882	1117	148
883	1118	146
884	1118	145
885	1119	144
886	1120	142
887	1122	141
888	1123	140
889	1123	138
890	1124	137
891	1125	136
892	1126	135
893	1129	133
894	1130	132
895	1130	131
896	1131	129
897	1132	128
898	1135	127
899	1136	126
900	1137	124
901	1138	123
902	1138	122
903	1139	121
904	1141	119
905	1142	118
906	1142	117
907	1143	115
908	1144	114
909	1145	113
910	1147	112
